age,rating,weather_cond,traffic,vehicle_cond,vehicle_type,multiple_orders,festival,city_type,city_name,month,weekend,ordered_hour,distance_km,delivery_time
39.0,4.7,sunny,low,2,motorcycle,1.0,no,metropolitian,pune,3,0,22.0,9.19,19
39.0,4.6,fog,low,0,motorcycle,1.0,no,metropolitian,alh,2,1,23.0,8.99,23
25.0,4.8,stormy,medium,2,motorcycle,1.0,no,metropolitian,pune,3,1,17.0,13.79,28
31.0,4.1,fog,low,1,scooter,0.0,no,metropolitian,ludh,2,0,22.0,10.26,37
32.0,4.7,windy,medium,0,motorcycle,2.0,no,metropolitian,vad,3,0,15.0,6.29,34
27.0,4.5,windy,medium,2,electric_scooter,1.0,no,metropolitian,koc,2,0,18.0,12.48,25
29.0,4.6,sunny,medium,2,scooter,1.0,no,urban,indo,3,0,17.0,12.1,17
28.0,4.8,cloudy,medium,2,scooter,1.0,no,metropolitian,mys,3,0,18.0,20.21,28
22.0,5.0,cloudy,high,1,scooter,0.0,no,metropolitian,ranchi,3,0,11.0,3.02,27
21.0,4.6,windy,jam,0,motorcycle,1.0,no,metropolitian,bang,3,0,19.0,7.76,33
21.0,4.5,cloudy,medium,1,motorcycle,1.0,no,metropolitian,bang,3,0,17.0,20.18,26
28.0,4.5,cloudy,low,2,scooter,1.0,no,urban,mum,4,0,8.0,1.53,19
23.0,4.8,fog,jam,1,scooter,2.0,no,metropolitian,ranchi,3,0,21.0,19.62,43
26.0,4.8,fog,medium,0,motorcycle,1.0,no,metropolitian,indo,3,0,18.0,19.66,38
23.0,5.0,sunny,jam,2,scooter,1.0,no,urban,hyd,3,0,19.0,19.97,20
26.0,4.0,windy,low,0,motorcycle,0.0,no,metropolitian,mys,3,1,10.0,3.11,22
21.0,5.0,stormy,jam,1,motorcycle,0.0,no,metropolitian,chen,3,0,21.0,13.97,25
24.0,4.8,cloudy,low,2,scooter,0.0,no,metropolitian,chen,3,0,22.0,7.76,10
29.0,5.0,sandstorms,low,0,motorcycle,0.0,no,metropolitian,mum,4,0,23.0,13.77,21
32.0,4.7,stormy,jam,2,scooter,0.0,no,metropolitian,coimb,3,0,21.0,7.79,32
32.0,4.1,windy,low,0,motorcycle,1.0,no,metropolitian,coimb,3,0,8.0,3.12,33
32.0,4.7,cloudy,medium,0,motorcycle,1.0,no,metropolitian,indo,3,1,18.0,9.07,26
27.0,4.8,cloudy,low,2,scooter,1.0,no,metropolitian,indo,3,0,9.0,3.03,15
34.0,4.6,windy,low,2,scooter,1.0,no,metropolitian,coimb,4,0,22.0,10.91,21
22.0,4.6,cloudy,high,0,motorcycle,1.0,no,metropolitian,bhp,2,0,11.0,3.02,26
21.0,4.7,stormy,jam,1,scooter,1.0,no,metropolitian,chen,3,0,21.0,12.42,26
39.0,4.5,fog,jam,0,motorcycle,3.0,no,metropolitian,pune,3,1,19.0,16.85,53
28.0,4.3,stormy,low,0,motorcycle,1.0,no,metropolitian,goa,2,0,10.0,1.54,15
29.0,4.8,cloudy,low,1,motorcycle,0.0,no,urban,pune,3,1,9.0,3.06,11
25.0,4.6,stormy,medium,0,motorcycle,1.0,no,metropolitian,chen,3,0,18.0,20.18,25
30.0,4.8,fog,high,2,scooter,1.0,no,metropolitian,vad,3,0,11.0,1.57,31
20.0,4.7,fog,jam,2,scooter,1.0,no,urban,mum,3,0,20.0,4.59,34
31.0,4.7,sunny,low,0,motorcycle,1.0,no,metropolitian,koc,2,0,22.0,12.49,28
28.0,4.8,fog,medium,2,scooter,0.0,no,urban,mys,3,0,19.0,10.88,36
25.0,5.0,fog,jam,2,scooter,1.0,no,metropolitian,bhp,2,0,22.0,9.06,33
23.0,4.6,fog,jam,2,motorcycle,1.0,no,metropolitian,aurg,2,1,19.0,12.21,30
20.0,4.8,windy,low,2,motorcycle,0.0,no,metropolitian,ranchi,4,0,23.0,19.62,15
30.0,4.9,windy,medium,0,motorcycle,1.0,no,urban,mys,3,1,16.0,6.22,27
37.0,4.7,stormy,low,2,scooter,1.0,no,metropolitian,bhp,2,0,8.0,1.51,23
35.0,4.6,sandstorms,jam,0,motorcycle,2.0,no,metropolitian,hyd,3,0,19.0,4.61,42
38.0,4.3,windy,low,0,motorcycle,1.0,no,metropolitian,sur,3,0,9.0,1.52,30
33.0,4.3,stormy,jam,0,motorcycle,0.0,no,metropolitian,bang,3,1,19.0,7.76,37
39.0,4.8,sandstorms,jam,1,motorcycle,1.0,no,metropolitian,mum,3,1,19.0,7.65,27
28.0,4.9,fog,medium,0,motorcycle,0.0,no,metropolitian,pune,3,0,18.0,16.85,31
23.0,4.7,sunny,medium,0,motorcycle,1.0,no,metropolitian,sur,4,0,17.0,7.6,22
20.0,4.5,stormy,low,1,motorcycle,0.0,no,urban,aurg,2,0,8.0,3.15,10
26.0,4.4,cloudy,jam,1,motorcycle,1.0,no,metropolitian,chen,3,0,21.0,17.07,38
27.0,4.6,sunny,jam,1,scooter,1.0,no,metropolitian,ranchi,3,1,21.0,7.55,12
28.0,4.7,sunny,medium,0,motorcycle,0.0,no,metropolitian,mys,3,1,18.0,4.66,17
31.0,4.9,sandstorms,medium,2,scooter,0.0,no,metropolitian,jap,3,1,17.0,10.43,21
24.0,4.9,fog,medium,2,scooter,1.0,no,metropolitian,mys,3,0,18.0,20.21,35
35.0,4.8,fog,low,1,motorcycle,1.0,no,metropolitian,mum,4,0,22.0,9.18,16
27.0,5.0,sunny,low,1,scooter,0.0,no,metropolitian,ranchi,3,0,9.0,3.02,18
25.0,4.7,stormy,low,2,scooter,0.0,no,metropolitian,aurg,2,1,23.0,12.21,15
36.0,4.4,windy,jam,0,motorcycle,2.0,no,metropolitian,hyd,3,0,21.0,19.97,40
36.0,5.0,windy,jam,0,motorcycle,0.0,yes,metropolitian,ranchi,3,0,19.0,9.06,49
25.0,4.6,fog,low,1,scooter,0.0,no,urban,ranchi,4,0,9.0,3.02,11
20.0,4.8,windy,low,2,scooter,0.0,no,metropolitian,pune,3,0,0.0,4.6,11
31.0,3.4,sunny,low,0,motorcycle,0.0,no,metropolitian,goa,2,0,22.0,10.81,33
39.0,3.6,windy,jam,2,motorcycle,0.0,no,metropolitian,coimb,4,1,21.0,20.25,37
30.0,4.6,fog,low,0,motorcycle,1.0,no,urban,hyd,3,0,9.0,3.07,21
34.0,4.1,cloudy,low,0,motorcycle,1.0,no,metropolitian,agr,2,0,23.0,16.37,38
23.0,4.8,stormy,high,2,scooter,0.0,no,urban,chen,3,0,12.0,6.21,12
21.0,4.9,windy,low,2,scooter,1.0,no,metropolitian,vad,3,0,10.0,3.03,18
24.0,4.6,sandstorms,jam,2,motorcycle,0.0,no,metropolitian,indo,3,1,21.0,13.61,19
26.0,4.8,cloudy,jam,1,scooter,1.0,no,metropolitian,pune,3,1,21.0,16.85,35
21.0,4.2,cloudy,medium,1,scooter,1.0,no,metropolitian,coimb,3,1,17.0,17.14,38
34.0,4.7,sandstorms,low,2,scooter,0.0,no,metropolitian,mum,3,0,22.0,7.65,23
37.0,4.7,stormy,low,1,motorcycle,0.0,no,urban,chen,3,1,8.0,3.1,25
24.0,4.8,fog,medium,0,motorcycle,0.0,no,metropolitian,jap,3,1,18.0,7.45,21
39.0,4.7,sandstorms,jam,0,motorcycle,0.0,no,urban,pune,3,0,21.0,9.19,30
31.0,4.8,sandstorms,high,0,motorcycle,0.0,no,metropolitian,sur,3,1,11.0,3.04,41
26.0,4.9,cloudy,jam,0,motorcycle,0.0,no,metropolitian,pune,3,0,19.0,7.66,26
20.0,4.8,fog,low,1,scooter,1.0,no,metropolitian,ranchi,3,1,23.0,12.07,22
28.0,4.0,fog,jam,1,motorcycle,1.0,no,metropolitian,pune,3,1,20.0,12.25,34
32.0,4.8,cloudy,low,2,scooter,1.0,no,metropolitian,pune,3,0,22.0,4.6,18
27.0,4.8,cloudy,high,1,motorcycle,0.0,no,urban,sur,4,1,14.0,6.08,24
25.0,4.2,sandstorms,high,0,motorcycle,1.0,no,urban,coimb,4,0,12.0,6.23,35
35.0,4.8,sandstorms,medium,2,motorcycle,1.0,no,metropolitian,ranchi,4,0,15.0,6.04,26
36.0,4.9,sandstorms,jam,0,motorcycle,1.0,no,metropolitian,hyd,3,0,21.0,13.83,39
30.0,3.8,windy,jam,1,scooter,1.0,yes,metropolitian,coimb,3,0,21.0,17.14,40
29.0,4.6,stormy,jam,0,motorcycle,0.0,no,metropolitian,chen,3,0,22.0,13.97,30
21.0,4.7,windy,high,2,electric_scooter,1.0,no,metropolitian,jap,3,0,11.0,1.49,12
39.0,4.8,cloudy,low,0,motorcycle,1.0,no,urban,coimb,3,1,10.0,3.12,20
20.0,4.9,sunny,jam,1,motorcycle,1.0,no,metropolitian,bang,3,0,20.0,17.07,11
35.0,4.7,fog,low,2,electric_scooter,0.0,no,metropolitian,jap,3,0,10.0,1.49,17
22.0,4.7,stormy,medium,1,scooter,1.0,no,urban,pune,3,0,17.0,12.25,28
31.0,4.1,sandstorms,low,0,motorcycle,1.0,no,metropolitian,goa,2,1,9.0,1.57,26
27.0,4.8,fog,low,1,motorcycle,1.0,no,metropolitian,vad,3,0,22.0,19.69,22
29.0,4.7,windy,jam,1,motorcycle,0.0,no,urban,hyd,3,0,21.0,13.83,19
39.0,5.0,windy,low,2,scooter,0.0,no,metropolitian,coimb,3,0,22.0,14.02,28
20.0,4.8,cloudy,low,0,motorcycle,1.0,no,metropolitian,jap,4,0,9.0,2.98,24
34.0,4.7,windy,medium,1,scooter,1.0,no,metropolitian,hyd,3,0,17.0,10.76,22
36.0,4.7,stormy,medium,2,scooter,1.0,no,metropolitian,sur,4,0,18.0,10.64,26
20.0,4.5,sunny,jam,2,scooter,1.0,no,urban,ranchi,3,0,19.0,13.58,15
32.0,4.8,fog,jam,2,electric_scooter,1.0,no,metropolitian,bang,3,0,21.0,4.66,36
26.0,4.8,cloudy,low,1,motorcycle,1.0,no,metropolitian,indo,4,0,23.0,19.66,28
31.0,4.2,fog,low,1,scooter,0.0,no,metropolitian,indo,4,1,22.0,19.66,34
24.0,4.8,sandstorms,low,1,scooter,0.0,no,metropolitian,ranchi,3,0,22.0,19.62,17
33.0,4.7,cloudy,low,2,scooter,1.0,no,metropolitian,jap,3,0,22.0,11.92,30
36.0,4.8,stormy,low,1,motorcycle,0.0,no,metropolitian,vad,4,0,22.0,12.58,15
33.0,4.1,stormy,low,0,motorcycle,1.0,no,metropolitian,jap,3,1,23.0,8.94,25
25.0,4.5,stormy,high,1,motorcycle,1.0,no,metropolitian,jap,3,1,11.0,1.49,24
35.0,4.6,windy,low,1,scooter,1.0,no,metropolitian,ranchi,3,0,11.0,1.51,27
21.0,4.9,cloudy,jam,1,scooter,0.0,no,metropolitian,indo,4,0,19.0,4.54,30
30.0,5.0,sunny,jam,0,motorcycle,1.0,no,metropolitian,coimb,4,0,20.0,10.91,40
26.0,4.9,sunny,high,1,motorcycle,1.0,no,metropolitian,jap,3,0,15.0,5.96,16
21.0,4.6,windy,medium,2,electric_scooter,1.0,no,metropolitian,bhp,2,0,18.0,9.44,27
23.0,4.6,windy,medium,1,motorcycle,1.0,no,metropolitian,agr,2,0,15.0,5.95,23
34.0,4.7,sunny,medium,1,motorcycle,1.0,no,metropolitian,mys,3,0,18.0,17.1,28
33.0,4.1,windy,medium,1,motorcycle,1.0,no,metropolitian,ranchi,3,0,17.0,4.53,34
27.0,5.0,stormy,jam,2,scooter,1.0,no,metropolitian,mys,3,0,20.0,9.44,13
31.0,4.6,sandstorms,low,0,motorcycle,1.0,no,metropolitian,mys,3,0,23.0,10.88,24
28.0,4.9,windy,jam,0,motorcycle,1.0,no,metropolitian,pune,3,0,20.0,13.79,32
34.0,4.7,sunny,medium,1,motorcycle,0.0,no,metropolitian,ranchi,3,1,15.0,6.04,16
38.0,4.6,sandstorms,medium,2,motorcycle,1.0,no,metropolitian,pune,3,0,18.0,16.85,24
28.0,4.9,stormy,jam,0,motorcycle,1.0,no,metropolitian,sur,4,1,20.0,10.64,27
28.0,4.0,cloudy,jam,2,scooter,0.0,no,metropolitian,mys,3,0,19.0,17.1,36
26.0,4.8,sandstorms,high,2,motorcycle,0.0,no,metropolitian,chen,3,0,14.0,6.21,14
31.0,4.7,sunny,jam,0,motorcycle,0.0,no,metropolitian,chen,3,1,20.0,9.31,21
33.0,4.8,sandstorms,jam,1,scooter,1.0,no,metropolitian,pune,3,0,20.0,10.72,25
32.0,5.0,sunny,jam,1,motorcycle,1.0,no,urban,knp,2,0,21.0,8.95,19
21.0,4.3,fog,jam,1,scooter,0.0,no,metropolitian,mys,3,0,20.0,20.21,42
31.0,4.5,fog,medium,2,electric_scooter,1.0,no,metropolitian,bang,3,0,18.0,4.66,19
22.0,4.7,sandstorms,low,1,motorcycle,0.0,no,urban,sur,3,0,22.0,7.6,17
36.0,5.0,windy,jam,2,scooter,1.0,no,metropolitian,pune,3,0,19.0,4.6,27
27.0,4.8,sunny,jam,1,motorcycle,1.0,no,urban,koc,2,0,20.0,9.36,11
39.0,4.9,stormy,jam,2,motorcycle,1.0,no,metropolitian,deh,2,0,20.0,7.34,30
37.0,4.2,fog,jam,1,scooter,1.0,no,metropolitian,mys,3,0,20.0,17.1,40
27.0,4.0,cloudy,jam,1,scooter,2.0,no,metropolitian,pune,3,0,20.0,4.6,34
24.0,4.8,sunny,low,1,motorcycle,1.0,no,metropolitian,vad,3,1,10.0,3.15,19
28.0,4.8,sandstorms,low,2,electric_scooter,1.0,no,metropolitian,vad,3,0,9.0,3.15,17
38.0,3.8,sandstorms,jam,1,motorcycle,1.0,no,urban,mys,3,0,20.0,20.21,33
21.0,4.7,stormy,jam,1,motorcycle,1.0,no,metropolitian,bang,3,0,21.0,17.08,22
29.0,4.9,sunny,low,1,scooter,1.0,no,metropolitian,bang,3,0,22.0,4.66,23
20.0,4.3,windy,low,0,motorcycle,0.0,no,metropolitian,mys,3,1,23.0,7.77,25
36.0,4.6,sandstorms,medium,2,scooter,0.0,no,metropolitian,coimb,3,0,18.0,7.79,26
25.0,4.5,windy,low,2,scooter,1.0,no,metropolitian,indo,3,0,23.0,7.56,17
20.0,4.8,sunny,jam,1,motorcycle,0.0,no,metropolitian,indo,3,0,21.0,7.56,13
20.0,4.9,stormy,jam,0,motorcycle,1.0,no,metropolitian,agr,2,0,20.0,14.15,34
28.0,4.8,sunny,low,1,scooter,1.0,no,metropolitian,pune,3,0,10.0,1.53,21
36.0,4.2,stormy,low,0,motorcycle,1.0,no,metropolitian,mys,3,1,11.0,3.11,26
22.0,4.2,sandstorms,low,0,motorcycle,1.0,no,metropolitian,bang,3,0,23.0,4.66,24
35.0,4.8,windy,medium,0,motorcycle,2.0,no,metropolitian,aurg,2,0,19.0,12.21,40
20.0,4.9,sunny,jam,1,scooter,0.0,no,metropolitian,jap,3,1,21.0,4.47,18
21.0,4.9,sandstorms,low,1,scooter,1.0,no,urban,coimb,4,0,9.0,3.12,15
23.0,4.5,windy,jam,1,scooter,1.0,no,metropolitian,deh,2,0,20.0,20.44,20
36.0,4.4,sunny,medium,0,motorcycle,1.0,no,urban,coimb,3,1,18.0,12.46,33
38.0,4.7,stormy,low,0,motorcycle,1.0,no,metropolitian,jap,3,0,22.0,11.92,23
30.0,4.1,stormy,high,0,motorcycle,1.0,no,metropolitian,vad,3,0,11.0,3.03,39
35.0,4.6,cloudy,low,2,electric_scooter,0.0,no,urban,chen,4,1,9.0,1.55,16
23.0,4.8,sunny,jam,1,motorcycle,1.0,no,metropolitian,sur,3,0,21.0,12.16,23
36.0,4.8,sandstorms,low,1,motorcycle,1.0,no,metropolitian,knp,2,0,22.0,7.46,21
32.0,3.7,windy,medium,2,electric_scooter,1.0,no,urban,bang,3,1,18.0,10.87,34
39.0,4.2,stormy,high,2,electric_scooter,1.0,no,urban,mys,3,1,11.0,3.11,32
21.0,4.5,fog,jam,1,motorcycle,0.0,no,metropolitian,hyd,4,0,20.0,7.68,21
23.0,4.7,cloudy,high,1,motorcycle,1.0,no,metropolitian,mum,4,0,14.0,6.12,26
34.0,4.8,sunny,high,2,motorcycle,0.0,no,metropolitian,mys,3,0,11.0,1.55,22
31.0,4.9,windy,low,1,motorcycle,1.0,no,metropolitian,coimb,4,0,10.0,1.56,23
25.0,4.9,sandstorms,jam,1,scooter,0.0,no,metropolitian,ranchi,3,0,20.0,19.62,19
33.0,4.9,sunny,medium,2,electric_scooter,1.0,no,urban,pune,3,1,17.0,10.72,22
29.0,4.6,fog,jam,1,motorcycle,1.0,no,metropolitian,sur,3,0,21.0,19.76,35
24.0,4.6,windy,jam,0,motorcycle,1.0,no,urban,ranchi,3,0,20.0,16.6,34
39.0,4.7,cloudy,medium,2,motorcycle,0.0,no,urban,pune,3,1,17.0,9.19,19
32.0,3.8,fog,low,1,motorcycle,2.0,no,metropolitian,indo,3,0,22.0,12.1,39
30.0,4.7,sandstorms,jam,0,motorcycle,1.0,no,metropolitian,coimb,3,0,19.0,20.25,41
21.0,4.8,sandstorms,low,2,motorcycle,1.0,no,urban,mum,3,1,8.0,1.53,17
22.0,4.6,stormy,jam,2,motorcycle,1.0,no,metropolitian,jap,3,0,20.0,10.43,24
31.0,4.7,sunny,medium,0,motorcycle,1.0,no,urban,mum,3,0,18.0,12.24,37
35.0,4.6,stormy,low,0,motorcycle,1.0,no,urban,ranchi,3,0,23.0,20.44,22
24.0,4.6,cloudy,medium,2,scooter,2.0,no,metropolitian,bang,4,1,17.0,10.87,38
34.0,4.8,cloudy,high,0,motorcycle,0.0,no,metropolitian,mys,3,0,12.0,6.22,33
30.0,4.4,windy,medium,0,motorcycle,1.0,no,metropolitian,sur,3,0,18.0,13.68,33
31.0,4.2,cloudy,jam,2,scooter,1.0,no,metropolitian,chen,3,0,20.0,7.76,37
22.0,4.5,sunny,low,0,motorcycle,0.0,no,metropolitian,koc,2,0,10.0,1.56,16
39.0,4.9,sunny,low,1,motorcycle,0.0,no,urban,ranchi,3,0,9.0,3.02,15
38.0,5.0,cloudy,low,1,motorcycle,0.0,no,urban,ranchi,4,0,9.0,3.15,17
32.0,4.5,stormy,medium,2,motorcycle,0.0,no,metropolitian,mum,3,0,17.0,16.82,28
28.0,4.7,sandstorms,jam,2,motorcycle,1.0,no,metropolitian,deh,2,0,20.0,6761.14,29
24.0,4.1,sandstorms,low,0,motorcycle,1.0,no,metropolitian,jap,3,0,8.0,2.98,26
32.0,4.9,sunny,medium,0,motorcycle,1.0,no,urban,chen,3,0,18.0,20.18,26
28.0,4.6,windy,jam,1,scooter,1.0,no,metropolitian,hyd,3,0,21.0,9.22,19
29.0,5.0,cloudy,medium,2,scooter,1.0,no,metropolitian,mys,3,1,17.0,10.88,32
33.0,3.7,windy,medium,2,electric_scooter,1.0,no,metropolitian,coimb,3,0,17.0,10.91,31
36.0,4.9,fog,jam,1,scooter,2.0,no,metropolitian,bang,3,0,19.0,17.08,43
29.0,4.6,sandstorms,medium,1,motorcycle,0.0,no,urban,pune,3,1,17.0,12.25,22
26.0,4.7,fog,low,0,motorcycle,1.0,no,urban,jap,3,1,23.0,13.41,20
20.0,4.6,sandstorms,jam,2,scooter,1.0,no,metropolitian,mys,3,1,21.0,12.44,23
37.0,3.8,windy,jam,2,scooter,1.0,no,metropolitian,mys,3,0,21.0,10.88,39
28.0,4.8,stormy,jam,2,motorcycle,0.0,no,metropolitian,bang,3,0,21.0,20.18,26
27.0,4.8,cloudy,low,0,motorcycle,0.0,no,metropolitian,ranchi,3,0,8.0,1.51,17
26.0,4.1,fog,jam,1,scooter,1.0,no,metropolitian,kol,2,0,19.0,19.67,32
27.0,4.9,stormy,medium,1,motorcycle,1.0,no,metropolitian,koc,2,1,18.0,10.92,18
21.0,4.8,sunny,low,0,motorcycle,1.0,no,metropolitian,pune,3,0,10.0,1.53,17
38.0,3.5,stormy,medium,1,motorcycle,1.0,no,metropolitian,agr,2,1,18.0,13.39,33
37.0,5.0,fog,medium,2,scooter,0.0,no,metropolitian,vad,3,0,18.0,7.86,18
34.0,4.6,sandstorms,low,2,scooter,0.0,no,metropolitian,goa,2,1,10.0,1.57,26
37.0,4.7,sunny,low,1,scooter,0.0,no,metropolitian,indo,3,0,9.0,3.03,10
22.0,4.5,fog,low,0,motorcycle,1.0,no,metropolitian,aurg,2,0,0.0,10.68,23
35.0,4.4,sandstorms,medium,1,scooter,0.0,no,metropolitian,sur,3,0,17.0,16.72,33
31.0,4.9,fog,jam,2,scooter,2.0,no,metropolitian,mys,3,0,20.0,12.44,37
24.0,4.6,windy,low,1,motorcycle,1.0,no,urban,bang,4,0,23.0,10.87,15
37.0,4.8,stormy,medium,2,motorcycle,0.0,no,metropolitian,ranchi,3,0,17.0,19.62,20
28.0,4.9,fog,jam,0,motorcycle,1.0,no,metropolitian,hyd,3,0,22.0,9.22,23
38.0,4.7,windy,medium,1,motorcycle,1.0,no,metropolitian,agr,2,0,17.0,9.44,26
20.0,4.5,sandstorms,low,0,motorcycle,0.0,no,metropolitian,indo,3,0,22.0,16.64,23
20.0,4.7,sandstorms,jam,0,motorcycle,1.0,no,metropolitian,hyd,3,1,21.0,7.68,33
39.0,4.8,sandstorms,jam,0,motorcycle,1.0,no,metropolitian,chen,3,0,20.0,7.76,40
27.0,4.4,sandstorms,medium,0,motorcycle,1.0,no,metropolitian,vad,3,0,18.0,20.44,36
28.0,4.4,sunny,jam,0,motorcycle,2.0,no,urban,ranchi,4,0,19.0,7.55,48
35.0,4.9,cloudy,high,2,electric_scooter,1.0,no,metropolitian,bang,3,0,14.0,6.21,35
26.0,4.9,sandstorms,medium,1,motorcycle,0.0,no,urban,chen,3,1,17.0,17.07,23
34.0,4.7,cloudy,jam,1,scooter,2.0,yes,metropolitian,agr,2,0,19.0,13.39,44
22.0,4.9,windy,medium,2,scooter,1.0,no,urban,mys,3,0,16.0,6.22,26
26.0,4.6,sandstorms,low,2,scooter,0.0,no,urban,mys,3,0,10.0,1.55,17
33.0,4.7,stormy,high,0,motorcycle,1.0,no,metropolitian,vad,3,0,14.0,6.06,30
25.0,4.9,windy,low,2,scooter,1.0,no,metropolitian,bang,4,0,23.0,4.66,17
24.0,4.7,sandstorms,medium,1,scooter,1.0,no,urban,kol,2,0,17.0,13.62,18
29.0,4.9,cloudy,low,1,motorcycle,0.0,no,metropolitian,mys,3,0,9.0,1.55,17
22.0,4.7,windy,medium,0,motorcycle,0.0,no,metropolitian,coimb,3,0,18.0,9.35,16
31.0,4.8,sandstorms,high,2,electric_scooter,0.0,no,metropolitian,jap,4,0,14.0,5.96,25
24.0,4.8,sandstorms,jam,2,motorcycle,1.0,no,urban,hyd,3,0,21.0,4.61,29
36.0,4.2,sandstorms,high,2,scooter,1.0,no,metropolitian,mum,4,1,12.0,6.12,33
22.0,4.8,sunny,jam,1,scooter,0.0,no,urban,coimb,3,0,19.0,9.35,13
24.0,5.0,windy,low,0,motorcycle,0.0,no,metropolitian,indo,3,0,23.0,19.66,21
35.0,4.9,sandstorms,low,2,scooter,1.0,no,urban,ranchi,3,0,22.0,13.58,15
33.0,4.6,cloudy,low,0,motorcycle,1.0,no,metropolitian,vad,4,0,10.0,3.03,28
32.0,4.7,cloudy,low,2,scooter,1.0,no,urban,mum,3,0,23.0,13.77,29
38.0,4.6,sunny,low,2,scooter,0.0,no,metropolitian,vad,3,0,23.0,11.01,26
30.0,4.7,stormy,low,2,electric_scooter,1.0,no,urban,bang,3,1,23.0,20.18,26
29.0,4.8,cloudy,medium,1,scooter,1.0,no,metropolitian,vad,4,0,19.0,9.09,17
26.0,4.7,windy,high,1,scooter,1.0,no,metropolitian,chen,3,0,14.0,6.21,23
30.0,4.7,sunny,low,2,scooter,1.0,no,urban,chen,3,0,9.0,1.55,15
25.0,4.8,windy,medium,2,electric_scooter,0.0,no,metropolitian,chen,3,0,18.0,20.18,21
33.0,4.8,cloudy,low,0,motorcycle,0.0,no,metropolitian,pune,4,0,8.0,3.06,25
28.0,4.4,stormy,low,0,motorcycle,0.0,no,urban,mum,3,1,8.0,3.06,19
34.0,4.7,fog,medium,1,motorcycle,0.0,no,urban,ludh,2,0,17.0,4.4,18
28.0,4.6,sunny,medium,0,motorcycle,0.0,no,urban,mum,3,0,18.0,13.76,15
39.0,4.0,cloudy,medium,2,motorcycle,2.0,no,metropolitian,bhp,2,0,17.0,19.63,35
25.0,4.9,stormy,high,0,motorcycle,2.0,no,metropolitian,chen,3,0,12.0,6.21,37
29.0,4.8,cloudy,medium,2,scooter,0.0,no,urban,mys,3,0,15.0,6.29,10
